PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201800850769	30044713			Incidence of Breast Cancer in the Life Span Study of Atomic Bomb Survivors: 1958-2009		Brenner, Alina, V (brennera@rerf.or.jp) ; Preston, Dale L.; Sakata, Ritsu; Sugiyama, Hiromi; de Gonzalez, Amy Berrington; French, Benjamin; Utada, Mai; Cahoon, Elizabeth K.; Sadakane, Atsuko; Ozasa, Kotaro; Grant, Eric J.; Mabuchi, Kiyohiko									Radiation Research		2018	OCT 2018	190	4	433-444	433	444							The importance of reproductive history in breast tissue development and etiology of sporadic breast cancer in females is well established. However, there is limited evidence of factors, other than age, that modify risk of radiation-related breast cancer. In this study, we evaluated breast cancer incidence in the Life Span Study cohort of atomic bomb survivors, adding 11 years of follow-up and incorporating reproductive history data. We used Poisson regression models to describe radiation risks and modifying effects of age and reproductive factors. Among 62,534 females, we identified 1,470 breast cancers between 1958 and 2009. Of 397 new cases diagnosed since 1998, 75% were exposed before age 20. We found a strong linear dose response with excess relative risk (ERR) of 1.12 per Gy [95% confidence interval (CI): 0.73 to 1.59] for females at age 70 after exposure at age 30. The ERR decreased with increasing attained age (P = 0.007) while excess absolute rate (EAR) increased with attained age up to age 70 (P < 0.001). Age at menarche was a strong modifier of the radiation effect: for a given dose, both the ERR and EAR decreased with increasing age at menarche (P = 0.007 and P < 0.001). Also, independently, age-at-exposure effects on ERR and EAR differed before and after menarche (P = 0.043 and P = 0.015, respectively, relative to log-linear trends), with highest risks for exposures around menarche. Despite the small number of male breast cancers (n = 10), the data continue to suggest a (lase response (ERR per Gy = 5.7; 95% CI: 03 to 30.8; P = 0.018). Persistently increased risk of female breast cancer after radiation exposure and its modification pattern suggests heightened breast sensitivity during puberty. (C) 2018 by Radiation Research Society														0033-7587	1938-5404	10.1667/RR15015.1																		
J	BCI:BCI201800938481				Collaboration pattern in male breast cancer research		Dwivedi, Sandhya (sandhyapandey79@gmail.com) ; Garg, K. C.									Current Science (Bangalore)		2018	SEP 10 2018	115	5	845-850	845	850							An analysis of 4168 research papers on male breast cancer (MBC) published by different countries and indexed by Science Citation Index Expanded during 2005-2014 indicates that only 15% of the papers were non-collaborative and the rest were published either in domestic or international collaboration. The sub-field of MBC had a high proportion of domestic collaboration. The number of papers written with domestic collaboration was almost three times the number of papers written with international collaboration. The value of co-authorship index (CAI) decreased in single-, two- and multi-authored papers in the second block 2010-2014 as compared to the first block (2005-2009). Higher value of CAI for mega-authored papers reflects higher collaborative coefficient (CC) in 2010-2014. The highest value of CC is for the sub-field S9 (genetics and heredity). This is also indicated by the highest value of CAI for mega-authored papers in this subfield. Among 17 highly productive institutions, CC value is more or equal to the global value of CC for 10 prolific institutions.														0011-3891	0011-3891	10.18520/cs/v115/i5/845-850																		
J	BCI:BCI201800870110				Recent Advances in the Biology of Male Breast Cancer		Speirs, V.									Journal of Pathology		2018	SEP 2018	246	Suppl. 1	S5	S5																						0022-3417	1096-9896																			
J	BCI:BCI201800880066				Immunohistochemical evaluation of the expression of MAGE-C2 protein in breast cancer		Lambropoulou, M.; Papadatou, V.; Anagnostopoulos, C.; Tologkos, S.; Kantartzi, K.; Tsaroucha, A.; Tsigalou, C.; Alexiadis, T.; Kiziridou, A.; Kakolyris, S.; Papadopoulos, N.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S209	S209																						0945-6317	1432-2307																			
J	BCI:BCI201800880068				Breast cancer in men - about a series of 25 cases		Merad, Z.; Tou, A.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S210	S210																						0945-6317	1432-2307																			
J	BCI:BCI201800722341	29802469			X chromosome gain is related to increased androgen receptor expression in male breast cancer		Di Oto, Enrico (enrico.dioto@live.it) ; Biserni, Giovanni B. (Giovanni.biserni@studio.unibo.it) ; Varga, Zsuzsanna (zsazsanna.varga@usz.ch) ; Morandi, Luca (Luca.morandi2@unibo.it) ; Cucchi, Maria C. (mariacristina.cucchi@ausl.bologna.it) ; Masetti, Riccardo (riccardo.masetti@policlinicogemelli.it) ; Foschini, Maria P. (mariapia.foschini@unibo.it)									Virchows Archiv		2018	AUG 2018	473	2	155-163	155	163							X chromosome gain has been previously described in male breast cancer (MBC). Androgen receptor (AR) gene is located on X chromosome. The aim of this study was to investigate the role of the X chromosome gain in the development of MBC and its relation with AR gene copy number and expression.The X chromosome status was assessed in 66 cases of male invasive and in situ duct breast carcinoma, in 34 cases of gynecomastia associated with cancer, and in 11 cases of tumor-free gynecomastia. Cases were tested by fluorescence in situ hybridization (FISH) to assess the X chromosome status and AR amplification. AR expression was studied by immunohistochemistry (IHC). In addition, AR methylation status was assessed.X chromosome gain was observed in 74.7% of invasive duct carcinoma, in 20.6% of in situ duct carcinoma, and in 14.6% of gynecomastia when associated with cancer, while all cases of tumor-free gynecomastia showed wild X chromosome asset. AR gene copy number when increased paralleled the number of X chromosomes. AR IHC expression was observed in 100% of MBC tested. AR gene methylation status revealed low level or absence of methylation.These data suggest that X chromosome can play a role in the neoplastic transformation of male breast epithelium. X chromosome gain is paralleled by AR gene polysomy. Polysomic AR genes show low methylation levels and high AR protein expression on NC. These data should be taken into consideration for MBC treatment planning.														0945-6317	1432-2307	10.1007/s00428-018-2377-2																		
J	BCI:BCI201800633477	29574860			A dietary pattern based on estrogen metabolism is associated with breast cancer risk in a prospective cohort of postmenopausal women		Guinter, Mark A.; McLain, Alexander C.; Merchant, Anwar T.; Sandler, Dale P.; Steck, Susan E. (ssteck@sc.edu)									International Journal of Cancer		2018	AUG 1 2018	143	3	580-590	580	590							Increased exposure to estrogen is a risk factor for postmenopausal breast cancer, and dietary factors can influence estrogen metabolism. However, studies of diet and breast cancer have been inconclusive. We developed a dietary pattern associated with levels of unconjugated estradiol and the ratio of 2- and 16-hydroxylated estrogen metabolites in a subsample of Prostate, Lung, Colorectal and Ovarian Screening Trial (PLCO) participants (n=653) using reduced rank regression, and examined its association with postmenopausal breast cancer prospectively in the larger PLCO cohort (n=27,488). The estrogen-related dietary pattern (ERDP) was comprised of foods with positively-weighted intakes (non-whole/refined grains, tomatoes, cruciferous vegetables, cheese, fish/shellfish high in -3 fatty acids, franks/luncheon meats) and negatively-weighted intakes (nuts/seeds, other vegetables, fish/shellfish low in -3 fatty acids, yogurt, coffee). A 1-unit increase in the ERDP score was associated with an increase in total (HR: 1.09, 95% CI: 1.01-1.18), invasive (HR: 1.13; 95% CI: 1.04-1.24) and estrogen receptor (ER)-positive (HR: 1.13, 95% CI: 1.02-1.24) breast cancer risk after adjustment for confounders. Associations were observed for the fourth quartile of ERDP compared with the first quartile for overall breast cancer (HR: 1.14; 95% CI: 0.98-1.32), invasive cases (HR: 1.20, 95% CI: 1.02-1.42) and ER-positive cases (HR: 1.19; 95% CI: 0.99-1.41). The increased risk associated with increasing ERDP score was more apparent in strata of some effect modifiers (postmenopausal hormone therapy non-users and non-obese participants) where the relative estrogen exposure due to that factor was lowest, although the p values for interaction were not statistically significant. Results suggest a dietary pattern based on estrogen metabolism is positively associated with postmenopausal breast cancer risk, possibly through an estrogenic influence.What's new? Serum levels of estrogen metabolites, which may be influenced by certain dietary factors, are associated with postmenopausal breast cancer risk. However, studies of diet and breast cancer have been inconclusive. In our study, an estrogen-related dietary pattern (ERDP) was developed based on data from dietary questionnaires and serum concentrations of estrogen metabolites in a subsample of control participants and cancer patients. The ERDP strongly correlated with the intake of refined grains, cheese, lunch meats and yogurt. The ERDP was positively associated with postmenopausal breast cancer risk, with stronger effects in invasive and estrogen receptor-positive cases.														0020-7136	1097-0215	10.1002/ijc.31387																		
J	BCI:BCI201800769111	29743167			Characterising the adipose-inflammatory microenvironment in male breast cancer		Lees, Tom; Cullinane, Angharad; Condon, Alexandra; Shabaan, Abeer M.; Humphries, Matthew P.; Speirs, Valerie (v.speirs@leeds.ac.uk)									Endocrine-Related Cancer		2018	JUL 2018	25	7	773-781	773	781							Male breast cancer (MBC) incidence seems to parallel global increases in obesity. The stromal microenvironment contributes to carcinogenesis; yet, the role of adipocytes in this is understudied in MBC. We identified four cohorts of male breast tissues diagnosed when obesity was rare (archival cohort) and more common (contemporary cohort). We examined the microenvironment of archival and contemporary cohorts of MBC, diagnosed 1940-1970 and 1998-2006, respectively, with two cohorts of, archival and contemporary gynaecomastia, diagnosed 1940-1979 and 1996-2011, respectively, serving as controls. We quantified adipocytes, crown-like structures (CLS) and the presence of CD8, alpha smooth muscle actin (alpha SMA) and CD68+ macrophages in both cohorts, and determined how these affected survival, in the contemporary MBC cohort. In both MBC cohorts, mean adipocyte diameter was larger in the distant stroma compared with stroma close to the invading tumour (92.2 mu m vs 66.7 mu m). This was not seen in gynaecomastia. CLS were more frequent in both MBC cohorts than gynaecomastia (44/55 (80%) vs 11/18 (61%), P < 0.001). No relationship was found between CLS number and adipocyte size, although there were greater numbers of CLS in contemporary MBC > archival MBC > gynaecomastia. CD8 and CD68 expression in the stroma was significantly associated with reduced survival, with no effects seen with aSMA. Changes in the adipose-inflammatory microenvironment may be a contributing factor to the increase seen in MBC diagnosis.														1351-0088	1479-6821	10.1530/ERC-17-0407																		
J	BCI:BCI201800602011	29032404			Dietary Supplementation with Methylseleninic Acid Inhibits Mammary Tumorigenesis and Metastasis in Male MMTV-PyMT Mice		Sundaram, Sneha; Yan, Lin (lin.yan@ars.usda.gov)									Biological Trace Element Research		2018	JUL 2018	184	1	186-195	186	195							Male breast cancer, which makes up approximately 1% of all breast cancers, is an aggressive disease with poor prognosis. We investigated the effects of dietary supplementation with selenium in the form of methylseleninic acid [(MSeA) 2.5 mg selenium/kg] on mammary tumorigenesis in male MMTV-PyMT mice. The mammary tumor latency was 14.6 weeks for the MSeA-fed group and 13.8 weeks for the controls fed the AIN93G diet (p < 0.05). Dietary supplementation with MSeA, versus the control, resulted in a 72% reduction in tumor progression, a 46% reduction in both final volume and weight of mammary tumors, and a 70% reduction in the number of lung metastases. Mammary tumorigenesis in MMTV-PyMT mice, versus non-tumor-bearing wild-type mice, resulted in significant increases in concentrations of plasminogen activator inhibitor-1, urokinase plasminogen activator, monocyte chemotactic protein-1, and vascular endothelial growth factor, but not aromatase and estrogen, in the plasma. Concentrations of all variables mentioned above in both plasma and mammary tumors were lower in MSeA-fed mice. Mammary tumorigenesis reduced plasma levels of adiponectin compared to non-tumor-bearing controls. Adiponectin concentrations in mammary tumors, but not in plasma, were higher in MSeA-fed mice than in controls. In summary, dietary supplementation with selenium in the form of MSeA inhibits mammary tumorigenesis and its pulmonary metastasis in male MMTV-PyMT mice.														0163-4984	1559-0720	10.1007/s12011-017-1188-7																		
J	BCI:BCI201800583659	29560538			Mutational analysis of candidate genes in Israeli male breast cancer cases		Schayek, Hagit; Korach, Hila; Laitman, Yael; Bernstein-Molho, Rinat; Friedman, Eitan (eitan.friedman@sheba.health.gov.il)									Breast Cancer Research and Treatment		2018	JUL 2018	170	2	399-404	399	404							To define the mutational spectrum of several candidate gene mutations in Israeli male breast cancer cases.MBC cases counselled at the Oncogenetics unit, Sheba Medical Center from January 1998 to June 2017 were included. Relevant clinical and oncological data and cancer phenotype were retrieved. All participants were genotyped for the predominant Jewish BRCA1 and BRCA2 germline mutations using a chip-based assay. Those who tested negative were further genotyped for three recurring mutations in CHEK2 (c.1100delC, p.S428F, p.I157T), and single mutations in the FANCM (c.5791C > T), and RAD51D (c.556C > T) genes, by direct sequencing. The ethics committee approved the study.Overall, 61 MBC were identified and genotyped, 41 (67.2%) were Ashkenazim, age at diagnosis was 58.1 +/- 12.6 years, and 31 (50.8%) had a family history of cancer. Of genotyped individuals, one (1.6%) harboured the 185delAG* BRCA1 mutation, 7 (11.4%) the 6174delT*BRCA2 mutation and 2 (3.2%) other recurring mutations in BRCA2 (overall 10/61-16.4% BRCA1/BRCA2 mutation carriers). Of BRCA-negative cases, 3/51 (5.9%) carried the p.S428F *CHEK2 mutation. None was a carrier of the other genotyped mutations in CHEK2, FANCM or RAD51D.BRCA1, BRCA2 and CHEK2 germline mutations contribute to inherited predisposition to MBC in Israel.				Bernstein Molho, Rinat/0000-0002-4068-9514										0167-6806	1573-7217	10.1007/s10549-018-4765-3																		
