PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201800890861	30115694			Transcriptomics and Transposon Mutagenesis Identify Multiple Mechanisms of Resistance to the FGFR Inhibitor AZD4547		Kas, Sjors M.; de Ruiter, Julian R.; Schipper, Koen; Schut, Eva; Bombardelli, Lorenzo; Wientjens, Ellen; Drenth, Anne Paulien; de Korte-Grimmerink, Renske; Mahakena, Sunny; Phillips, Christopher; Smith, Paul D.; Klarenbeek, Sjoerd; van de Wetering, Koen; Berns, Anton; Wessels, Lodewyk F. A. (l.wessels@nki.nl) ; Jonkers, Jos (j.jonkers@nki.nl)									Cancer Research		2018	OCT 1 2018	78	19	5668-5679	5668	5679							In human cancers, FGFR signaling is frequently hyperactivated by deregulation of FGF ligands or by activating mutations in the FGFR receptors such as gene amplifications, point mutations, and gene fusions. As such, FGFR inhibitors are considered an attractive therapeutic strategy for patients with mutations in FGFR family members. We previously identified Fgfr2 as a key driver of invasive lobular carcinoma (ILC) in an in vivo insertional mutagenesis screen using the Sleeping Beauty transposon system. Here we explore whether these FGFR-driven ILCs are sensitive to the FGFR inhibitor AZD4547 and use transposon mutagenesis in these tumors to identify potential mechanisms of resistance to therapy. Combined with RNA sequencing-based analyses of AZD4547-resistant tumors, our in vivo approach identified several known and novel potential resistance mechanisms to FGFR inhibition, most of which converged on reactivation of the canonical MAPK-ERK signaling cascade. Observed resistance mechanisms included mutations in the tyrosine kinase domain of FGFR2, overexpression of MET, inactivation of RASA1, and activation of the drug-efflux transporter ABCG2. ABCG2 and RASA1 were identified only from de novo transposon insertions acquired during AZD4547 treatment, demonstrating that insertional mutagenesis in mice is an effective tool for identifying potential mechanisms of resistance to targeted cancer therapies.Significance: These findings demonstrate that a combined approach of transcriptomics and insertional mutagenesis in vivo is an effective method for identifying potential targets to overcome resistance to therapy in the clinic. (C) 2018 AACR.														0008-5472	1538-7445	10.1158/0008-5472.CAN-18-0757																		
J	BCI:BCI201800880277				Uterine metastasis revealing a breast mixed carcinoma		Abdessayed, N.; Mhamdi, N.; Zahmoul, T.; Hamchi, H.; Ouedraogo, A. S.; Mokni, M.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S263	S263																						0945-6317	1432-2307																			
J	BCI:BCI201800879942				Lobular breast carcinoma metastatic to the stomach: report of five cases with targeted deep sequencing results		Bae, H.; Park, S.; Jung, H. L.; Kim, H. N.; Kang, S. Y.; Kim, K. -M.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S178	S178																						0945-6317	1432-2307																			
J	BCI:BCI201800880025				Prognostic value of clinicopathological features in a large cohort of triple negative breast cancer		Balkenhol, M.; Vreuls, W.; Wauters, C.; Mol, S.; van der Laak, J.; Bult, P.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S199	S199											Bult, P./L-4236-2015	Bult, P./0000-0001-6427-9889										0945-6317	1432-2307																			
J	BCI:BCI201800880058				Unusual metastatic pattern of lobular carcinoma: series of cases and review of the molecular basis of disease		Fuertes Negro, B.; Cardiel Garcia, M. J.; Iliev Iliev, H.; Perez Domingo, L.; Mejia Urbaez, E.; Pellicer Soria, A. M.; Ramirez Gasca, M. T.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S207-S208	S207	S208																					0945-6317	1432-2307																			
J	BCI:BCI201800880051				E-cadherin (Clone 36) nuclear staining associates with adverse prognostic features in lobular breast carcinoma		Henrique, R.; Lobo, J.; Petronilho, S.; Hanlon Newell, A.; Coach, J.; Cruz, A.; Lopes, P.; Bai, I.; Walker, E.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S205-S206	S205	S206																					0945-6317	1432-2307																			
J	BCI:BCI201800879540				Extragenital neoplasias involving the uterine cervix: a case series of diagnostic biopsies		Machado, B.; Ferreira, V.; Bartosch, C.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S73	S73																						0945-6317	1432-2307																			
J	BCI:BCI201800880435				Desmoplastic small round cell tumour: a case report in association with mature teratoma		Oprisan, G.; Dema, A.; Anderco, D.; Duta, C.; Grigoras, D.; Lazar, F.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S304	S304																						0945-6317	1432-2307																			
J	BCI:BCI201800880281				Plexiform tumourlet as an incidental finding in a hysterectomy specimen		Pigadioti, E.; Koufopoulos, N.; Tsouma, E.; Kosmas, K.; Khaldi, L.									Virchows Archiv		2018	SEP 2018	473	Suppl. 1	S264	S264																						0945-6317	1432-2307																			
J	BCI:BCI201800924261	29879416			Re-Evaluating E-Cadherin and beta-Catenin A Pan-Cancer Proteomic Approach with an Emphasis on Breast Cancer		Borcherding, Nicholas; Cole, Kimberly; Kluz, Paige; Jorgensen, Michael; Kolb, Ryan; Bellizzi, Andrew (andrew-bellizzi@uiowa.edu) ; Zhang, Weizhou (weizhou-zhang@uiowa.edu)									American Journal of Pathology		2018	AUG 2018	188	8	1910-1920	1910	1920							E-cadherin is conventionally considered to be a good prognostic marker in cancer. The Loss of E-cadherin is one of the key hallmarks of epithelial-to-mesenchymal transition, a biological process that promotes cancer cell invasiveness and metastasis. Recent evidence has cast doubt on the importance of epithelial-to-mesenchymal transition in metastasis. The availability of protein-level data in the Cancer Genome Atlas allows for the quantitative analysis of protein and prognosis. The prognostic values of E-cadherin and beta-catenin were revisited across 19 cancer types, and high E-cadherin was found to correlate with good prognosis in most cancers. Conversely, higher E-cadherin and beta-catenin correlated with shorter survival in invasive breast carcinoma. Stratifying breast cancers by histologic subtype revealed that the poor prognosis of E-cadherin and beta-catenin proteins was characteristic of infiltrating ductal, but not lobular, carcinomas. To further corroborate the protein findings and examine cellular Localization, immunohistochemistry was used for E-cadherin and p-catenin in 163 breast patient samples from the Iowa cohort. Most previous studies showing that reduced or absent E-cadherin and beta-catenin was inversely associated with tumor stages in ductal carcinomas were confirmed. Taken together, these results lead us to question the prognostic values of E-cadherin and beta-catenin in ductal carcinomas and indicate a complicated role of E-cadherin and beta-catenin in breast cancer progression.				Bellizzi, Andrew/0000-0002-8264-6379										0002-9440	1525-2191	10.1016/j.ajpath.2018.05.003																		
