PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201800681458	29805665			Multicenter cross-sectional screening of the BRCA gene for Chinese high hereditary risk breast cancer populations		Wei, Hongyi; Wang, Minghao; Ou, Jianghua; Jiang, Weihua; Tian, Fuguo; Sheng, Yuan; Li, Hengyu; Xu, Hong; Zhang, Ruishan; Guan, Aihua; Wang, Changqing; Jiang, Hongchuan; Ren, Yu; He, Jianjun; Liu, Jian; Huang, Weiwei; Liao, Ning; Cai, Xiangjun; Ming, Jia; Ling, Rui; Xu, Yan; Hu, Chunyan; Zhang, Jianguo; Guo, Baoliang; Ouyang, Lizhi; Shuai, Ping; Liu, Zhenzhen; Zhong, Ling; Jing, Ruilin; Zeng, Zhen; Zhang, Meng; Zhang, Ting; Xuan, Zhaoling; Tan, Xuanni; Liang, Junbin; Pan, Qinwen; Chen, Li; Zhang, Fan; Fan, Linjun; Zhang, Yi; Yang, Xinhua; Li, Jingbo; Chen, Chongjian (cchen@annoroad.com) ; Jiang, Jun (jcbd@medmail.com.cn)									Oncology Letters		2018	JUN 2018	15	6	9420-9428	9420	9428							Due to lack of systematic reviews, BRCA, DNA Repair Associated (BRCA) mutations in the Chinese population are not completely understood. The following study investigates the prevalence and type of BRCA mutations in Chinese patients with high hereditary risk of breast cancer (BC). Patients Drwere recruited from 14 cities between October 2015 and February 2016, and were selected based on family and personal medical history. BRCA mutations were analyzed by collecting blood samples from all participants. 437 BC patients were included. A total of seventy-six (17.4%) mutation carriers were identified with no geographic difference. The mutation rate in the early-onset BC patients was lower compared to family history of breast/ovarian cancer (OC), bilateral BC, male BC, BC&OC or meeting >= 2 criteria (9.2 vs. 21.7, 24.0, 22.2, 16.7 and 24.3%, respectively, P=0.007). A total of 61 mutation sites were identified (BRCA1 32, BRCA2 29) including 47.5% novel sites and extra 10 variants of uncertain significance. A total of five sites were repeated in more than one unrelated patient. A total of 11 sites were associated with hereditary breast and ovarian cancer syndrome, two of which were confirmed by family pedigrees. Compared with BRCA-patients, patients with BRCA1 mutation tended to be triple-negative BC (P<0.001), whereas patients with BRCA2 mutation were more likely to be hormone receptor positive BC (P=0.02). The present study provides a general BRCA mutation profile in the Chinese population. The prevalence of BRCA mutation in BC patients with high hereditary risk is lower compared with Western populations. Chinese mutation type is different with Western people, without obvious founder mutation.														1792-1074	1792-1082	10.3892/ol.2018.8538																		
J	BCI:BCI201800491124	29409816			Mutational analysis of RAD51C and RAD51D genes in hereditary breast and ovarian cancer families from Murcia (southeastern Spain)		Isabel Sanchez-Bermudez, Ana (ana.sanchez.bermudez@gmail.com) ; Desamparados Sarabia-Meseguer, Ma; Garcia-Aliaga, Angeles; Marin-Vera, Miguel; Antonio Macias-Cerrolaza, Jose; Sanchez Henarejos, Pilar; Guardiola-Castillo, Veronica; Ayala-de la Pena, Francisco; Luis Alonso-Romero, Jose; Antonio Noguera-Velasco, Jose; Ruiz-Espejo, Francisco									European Journal of Medical Genetics		2018	JUN 2018	61	6	355-361	355	361							RAD51C and RAD51D have been defined as susceptibility genes for hereditary breast and ovarian cancer syndrome in several studies. In the present study, a mutation analysis of these genes was performed on non BRCA1/2 families. RAD51C and RAD51D genes were analyzed in 141 and 77 families, respectively. The analysis included direct sequencing and multiple ligation probe analysis. The RAD51C pathogenic variant c.404G > A was identified in a breast and ovarian cancer family (0.7%), while the RAD51D pathogenic variant c.694C > T was described in an ovarian cancer family (1.3%). Moreover, three unknown clinical significance variants were detected: c.307T > G in RAD51C, and c.413A > G and c.715C > T in RAD51D. No large genomic rearrangements (LGRs) were found. RAD51D carriers suffered from premenopausal ovarian tumors. These results increase our knowledge about the RAD51C and RAD51D mutation spectrum and support the notion that these genes should be included in the gene panel testing performed on patients with hereditary breast and ovarian cancer syndrome.				Sarabia Meseguer/0000-0001-6336-7684										1769-7212	1878-0849	10.1016/j.ejmg.2018.01.015																		
J	BCI:BCI201800430349	29659587			Can chimerism explain breast/ovarian cancers in BRCA non-carriers from BRCA-positive families?		Mitchell, Rachel; Buckingham, Lela; Cobleigh, Melody; Rotmensch, Jacob; Burgess, Kelly; Usha, Lydia (Lydia_usha@rush.edu)									PLoS One		2018	APR 16 2018	13	4	Article No.: e0195497	e0195497								Hereditary breast and ovarian cancer syndrome (HBOC) is most frequently caused by mutations in BRCA1 or BRCA2 (in short, BRCA) genes. The incidence of hereditary breast and ovarian cancer in relatives of BRCA mutation carriers who test negative for the familial mutation (non-carriers) may be increased. However, the data is controversial, and at this time, these individuals are recommended the same cancer surveillance as general population. One possible explanation for BRCA phenocopies (close relatives of BRCA carriers who have developed cancer consistent with HBOC but tested negative for a familial mutation) is natural chimerism where lack of detectable mutation in blood may not rule out the presence of the mutation in the other tissues. To test this hypothesis, archival tumor tissue from eleven BRCA phenocopies was investigated. DNA from the tumor tissue was analyzed using sequence-specific PCR, capillary electrophoresis, and pyrosequencing. The familial mutations were originally detected in the patients' first-degree relatives by commercial testing. The same testing detected no mutations in the blood of the patients under study. The test methods targeted only the known familial mutation in the tumor tissue. Tumor diagnoses included breast, ovarian, endometrial and primary peritoneal carcinoma. None of the familial mutations were found in the tumor samples tested. These results do not support, but do not completely exclude, the possibility of chimerism in these patients. Further studies with comprehensive sequence analysis in a larger patient group are warranted as a chimeric state would further refine the predictive value of genetic testing to include BRCA phenocopies.														1932-6203	1932-6203	10.1371/journal.pone.0195497																		
J	BCI:BCI201800443482	29427345			Crosstalk of DNA double-strand break repair pathways in poly(ADP-ribose) polymerase inhibitor treatment of breast cancer susceptibility gene 1/2-mutated cancer		Sunada, Shigeaki; Nakanishi, Akira; Miki, Yoshio (miki.mgen@mri.tmd.ac.jp)									Cancer Science		2018	APR 2018	109	4	893-899	893	899							Germline mutations in breast cancer susceptibility gene 1 or 2 (BRCA1 or BRCA2) significantly increase cancer risk in hereditary breast and ovarian cancer syndrome (HBOC). Both genes function in the homologous recombination (HR) pathway of the DNA double-strand break (DSB) repair process. Therefore, the DNA-repair defect characteristic of cancer cells brings about a therapeutic advantage for poly(ADP-ribose) polymerase (PARP) inhibitor-induced synthetic lethality. PARP inhibitor-based therapeutics initially cause cancer lethality but acquired resistance mechanisms have been found and need to be elucidated. In particular, it is essential to understand in detail the mechanism of DNA damage and repair to PARP inhibitor treatment. Further investigations have shown the roles of BRCA1/2 and its associations to other molecules in the DSB repair system. Notably, the repair pathway chosen in BRCA1-deficient cells could be entirely different from that in BRCA2-deficient cells after PARP inhibitor treatment. The present review describes synthetic lethality and acquired resistance mechanisms to PARP inhibitor through the DSB repair pathway and subsequent repair process. In addition, recent knowledge of resistance mechanisms is discussed. Our model should contribute to the development of novel therapeutic strategies.														1349-7006	1349-7006	10.1111/cas.13530																		
J	BCI:BCI201800371205				Molecular test for BRCA 1 and 2: Hereditary breast and ovarian cancer syndrome. Analysis of cost effectiveness of its implementation		Paez, Maria C.; Riggi, Maria C.; Gogorza, Sebastian J.; Petracchi, Florencia									Cancer Research		2018	FEB 2018	78	4, Suppl. S	P4-12-09	P4																						0008-5472	1538-7445																			
J	BCI:BCI201800352544	29373116			Uncommon hereditary gynaecological tumour syndromes: pathological features in tumours that may predict risk for a germline mutation		Garg, Karuna; Karnezis, Anthony N.; Rabban, Joseph T. (joseph.rabban@ucsf.edu)									Pathology		2018	FEB 2018	50	2	238-256	238	256							The most common hereditary gynaecological tumour syndromes are hereditary breast and ovarian cancer syndrome and Lynch syndrome. However, pathologists also may encounter gynaecological tumours in women with rare hereditary syndromes. Many of these tumours exhibit distinctive gross and microscopic features that are associated with a risk for an inherited gene mutation. The sensitivity and specificity of these tumour pathology features for predicting an inherited mutation vary depending on the syndrome. By recognising these tumour features, pathologists may potentially contribute to the diagnosis of an unsuspected syndrome by recommending referral of the patient for formal risk assessment by genetic counselling. Patients additionally benefit from diagnosis of an inherited syndrome because many also carry a lifetime risk for developing primary malignancies outside of the gynaecological tract. Early diagnosis of an inherited syndrome permits early screening, detection, and management of additional malignancies associated with the syndrome. This review highlights these rare syndromes and their tumour pathology, including Peutz-Jeghers syndrome (gastric type mucinous carcinoma of the cervix; ovarian sex cord tumour with annular tubules); hereditary leiomyoma renal cell carcinoma syndrome (uterine leiomyoma); tuberous sclerosis complex (uterine PEComa; uterine lymphangioleiomyomatosis); DICER1 syndrome (ovarian Sertoli-Leydig cell tumour; cervical embryonal rhabdomyosarcoma); rhabdoid tumour predisposition syndrome 2 (small cell carcinoma of the ovary, hypercalcaemic type); Cowden syndrome (endometrial endometrioid adenocarcinoma); naevoid basal cell carcinoma syndrome (ovarian fibroma); and Von Hippel-Lindau syndrome (clear cell papillary cystadenoma of the broad ligament).														0031-3025	1465-3931	10.1016/j.pathol.2017.10.009																		
J	BCI:BCI201800194232	29383094			Simultaneous detection of genetic and copy number alterations in BRCA1/2 genes		Hirotsu, Yosuke (hirotsu-bdyu@ych.pref.yamanashi.jp) ; Ooka, Yoshihiko; Sakamoto, Ikuko; Nakagomi, Hiroshi; Omata, Masao									Oncotarget		2017	DEC 29 2017	8	70	114463-114473	114463	114473							Germline mutations in BRCA1 and BRCA2 genes (BRCA1/2) predispose to hereditary breast and ovarian cancer syndrome (HBOC), and their dysregulation increases the risk of cancers. The detection of pathogenic BRCA1/2 variants is essential for the diagnosis and prevention of HBOC, and for offering treatment decisions for patients. Therefore, there is a growing demand for the development of accurate, rapid assay systems that simultaneously detect pathogenic variants and copy number alterations. Here, we tested Thermo Fisher Scientific's newly developed Oncomine (R) BRCA1/2 Panel. We showed that all mutations in standard reference DNA were detected with high accuracy, and that values of allelic fractions were detected with high concordance (R-2 = 0.9986). The Oncomine (R) BRCA1/2 Panel detected 21 pathogenic germline variants in 147 patients with breast and/or ovarian cancer, of which 20 were detected by the previously-launched Ion AmpliSeq T BRCA1/2 Panel, except for one frameshift mutation. The Oncomine (R) BRCA1/2 Panel precisely captured one additional frameshift mutation, which is difficult to detect because of the homopolymer site. Large genomic deletion was identified in one sample, which was previously detected by multiplex ligation-dependent probe amplification. Oncomine (R) BRCA1/2 Panel could accurately detect pathogenic variant and copy number alteration, and be an alternative assay to investigate BRCA1/2 germline and somatic mutations.														1949-2553	1949-2553	10.18632/oncotarget.22962																		
J	BCI:BCI201800236754	29259228			Metabolomics reveals novel blood plasma biomarkers associated to the BRCA1-mutated phenotype of human breast cancer		Roig, Barbara; Rodriguez-Balada, Marta; Samino, Sara; Lam, Eric W. -F.; Guaita-Esteruelas, Sandra; Gomes, Ana R.; Correig, Xavier; Borras, Joan; Yanes, Oscar; Guma, Josep (jguma@grupsagessa.com)									Scientific Reports		2017	DEC 19 2017	7		Article No.: 17831	17831								Hereditary breast and ovarian cancer syndrome (HBOC) is partly due to the presence of mutations in the BRCA genes. Triple-negative (TN) breast cancer (BC) shares histological characteristics with germline BRCA1 mutation-associated tumours. We have investigated the metabolic profiles of human breast cancer (BC) cell lines carrying BRCA1 pathogenic mutations by non-targeted liquid chromatography coupled to mass spectrometry technology. Based on our in vitro results, we performed a targeted metabolomic analysis of plasma samples from TN HBOC patients taking into account their BRCA1 genotype. BRCA1 promoter hypermethylation and the BRCAness phenotype of BC cell lines were also studied. The purpose of this study was to determine the metabolic signature of HBOC syndrome and TNBC patients and to evaluate the potential contribution of the metabolites identified to the genetic diagnosis of breast cancer. The present results show the existence of a differential metabolic signature for BC cells based on the BRCA1 functionality. None of the studied BC cell lines presented hypermethylation of the BRCA1 promoter region. We provide evidence of the existence of free methylated nucleotides capable of distinguishing plasma samples from HBOC patients as BRCA1-mutated and BRCA1 non-mutated, suggesting that they might be considered as BRCA1-like biomarkers for TNBC and HBOC syndrome.				Rodriguez-Balada, Marta/0000-0002-2691-8819; Lam, Eric/0000-0003-1274-3576; Yanes, Oscar/0000-0003-3695-7157										2045-2322	2045-2322	10.1038/s41598-017-17897-8																		
J	BCI:BCI201700894457	29020660			Identification of twenty-nine novel germline unclassified variants of BRCA1 and BRCA2 genes in 1400 Italian individuals		Santonocito, Concetta; Scapaticci, Margherita (scapaticci.m@gmail.com) ; Guarino, Donatella; Bartolini, Andrea; Minucci, Angelo; Concolino, Paola; Scambia, Giovanni; Paris, Ida; Capoluongo, Ettore									Breast		2017	DEC 2017	36		74-78	74	78							Objectives: Breast and/or ovarian cancers are complex multifactorial diseases caused by interaction of both genetic and non-genetic factors and characterized by predisposition to inheritance. BRCA1 and BRCA2 genes are the most clinically involved with these kinds of cancer and the spectrum of variants affecting these genes is very wide. In fact, point variants, large or small insertions/deletions, genomic rearrangements can be found in these patients, although a large number of variants with uncertain biological and clinical significance continues to be identified. Next-generation sequencing (NGS) technology is actually the most powerful tool for the discovering of causative mutations and novel disease genes, moreover it allows to make a rapid diagnosis of genetic variants giving fast, inexpensive and detailed genetic information.Material and methods: In this study, we report the screening of BRCA1 and BRCA2 genes on 1400 consecutive Caucasian patients with breast and/or ovarian cancer history or family risk, attending the oncogenetic ambulatory at the Foundation Policlinico Agostino Gemelli in Rome.Results: We describe twenty-nine novel BRCA1 and BRCA2 variants detected in Italian individuals suffering from hereditary breast and ovarian cancer syndrome (HBOC).Conclusion: Data regarding novel variants can provide useful information not only at epidemiological but also at clinical level, allowing for the better managing of breast and ovarian cancer patients and their family members. (C) 2017 Elsevier Ltd. All rights reserved.				concolino, paola/0000-0002-0523-5744										0960-9776	1532-3080	10.1016/j.breast.2017.09.007																		
J	BCI:BCI201800127382	29161300			BRCA1 and BRCA2 mutational profile and prevalence in hereditary breast and ovarian cancer (HBOC) probands from Southern Brazil: Are international testing criteria appropriate for this specific population?		Alemar, Baarbara; Gregorio, Cleandra; Herzog, Josef; Bittar, Camila Matzenbacher; Oliveira Netto, Cristina Brinckmann; Artigalas, Osvaldo; Schwartz, Ida Vanessa D.; Coffa, Jordy; Camey, Suzi Alves; Weitzel, Jeffrey; Ashton-Prolla, Patricia (pprolla@gmail.com)									PLoS One		2017	NOV 21 2017	12	11	Article No.: e0187630	e0187630								BackgroundGermline pathogenic variants in BRCA1 and BRCA2 (BRCA) are the main cause of Hereditary Breast and Ovarian Cancer syndrome (HBOC).MethodsIn this study we evaluated the mutational profile and prevalence of BRCA pathogenic/likely pathogenic variants among probands fulfilling the NCCN HBOC testing criteria. We characterized the clinical profile of these individuals and explored the performance of international testing criteria.ResultsA pathogenic/likely pathogenic variant was detected in 19.1% of 418 probands, including seven novel frameshift variants. Variants of uncertain significance were found in 5.7% of individuals. We evaluated 50 testing criteria and mutation probability algorithms. There was a significant odds-ratio (OR) for mutation prediction (p <= 0.05) for 25 criteria; 14 of these had p <= 0.001. Using a cutoff point of four criteria, the sensitivity is 83.8%, and the specificity is 53.5% for being a carrier. The prevalence of pathogenic/likely pathogenic variants for each criterion ranged from 22.1% to 55.6%, and criteria with the highest ORs were those related to triple-negative breast cancer or ovarian cancer.ConclusionsThis is the largest study of comprehensive BRCA testing among Brazilians to date, and the first to analyze clinical criteria for genetic testing. Several criteria that are not included in the NCCN achieved a higher predictive value. Identification of the most informative criteria for each population will assist in the development of a rational approach to genetic testing, and will enable the prioritization of high-risk individuals as a first step towards offering testing in low-income countries.														1932-6203	1932-6203	10.1371/journal.pone.0187630																		
