PT	UT	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	AB	C1	EM	RI	OI	U1	U2	CR	NR	TC	Z9	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA	
J	BCI:BCI201800871671				Multiparametric imaging to evaluate human and mouse breast carcinoma in situ		Sinha, Vidya C.; Yang, Fei; Rinkenbaugh, Amanda L.; Zhou, Xinhui; Zhang, Xiaomei; Wistuba, Ignacio I.; Piwnica-Worms, Helen									Molecular Cancer Research		2018	AUG 2018	16	8, Suppl. S	92	92																						1541-7786	1557-3125																			
J	BCI:BCI201700845854	28902360			Expression of periostin in breast cancer cells		Ratajczak-Wielgomas, Katarzyna (katarzyna.ratajczak-wielgomas@umed.wroc.pl) ; Grzegrzolka, Jedrzej; Piotrowska, Aleksandra; Matkowski, Rafal; Wojnar, Andrzej; Rys, Janusz; Ugorski, Maciej; Dziegiel, Piotr									International Journal of Oncology		2017	OCT 2017	51	4	1300-1310	1300	1310							Periostin (POSTN) is a protein involved in multiple processes important for cancer development, both at the stage of cancer initiation and progression, as well as metastasis. The aim of this study was to determine the expression of POSTN in the cells of non-invasive ductal breast carcinoma in situ (DCIS) and invasive ductal carcinoma (IDC) and to correlate it with clinicopathological data Immunohistochemical studies (IHC) were conducted on 21 cases of fibrocystic breast change (FC), 44 cases of DCIS and 92 cases of IDC. POSTN expression at mRNA (real-time PCR) and protein level (western blot analysis) was also confirmed in selected breast cancer cell lines (MCF-7, SK-BR-3, MDA-MB-231 and BO2). Statistically significant higher level of POSTN expression in IDC and DCIS cancer cells compared to FC was noted. Also, the level of POSTN expression in the cytoplasm of IDC cells was shown to increase with the increasing degree of tumour malignancy (G) and significantly higher expression of POSTN was observed in each degree of tumour malignancy (G) relative to FC. Statistically significant higher POSTN expression was observed in tumours with estrogen receptor-negative (ER-) and progesterone receptor-negative (PR-) phenotypes in comparison to estrogen receptor-positive (ER+) and progesterone receptor-positive (PR+) cases, as well as significant negative correlation between POSTN expression in cancer cells and expression of ER and PR (p<0.05). Additionally, statistically significant differences in POSTN expression were shown between particular breast cancer cell lines, both at mRNA and protein level. Observed POSTN expression was the lowest in the case of MCF-7, and the highest in MDA-MB-231 and BO2 of the most aggressive potential clinically corresponding to G3 tumours. POSTN expression in the cytoplasm of IDC cancer cells may play an important role in cancer transformation mechanism.			Ratajczak-Wielgomas, Katarzyna/T-3574-2018	Ratajczak-Wielgomas, Katarzyna/0000-0001-6175-2204; Grzegrzolka, Jedrzej/0000-0002-1548-279X; Piotrowska, Aleksandra/0000-0003-4093-7386										1019-6439	1791-2423	10.3892/ijo.2017.4109																		
J	BCI:BCI201700573575	28431393			Loss of Tpm4.1 leads to disruption of cell-cell adhesions and invasive behavior in breast epithelial cells via increased Rac1 signaling		Jeong, SukYeong; Lim, SunYoung; Schevzov, Galina; Gunning, Peter W.; Helfman, David M. (dhelfman@kaist.ac.kr)									Oncotarget		2017	MAY 16 2017	8	20	33544-33559	33544	33559							Here we report the identification and characterization of a novel high molecular weight isoform of tropomyosin, Tpm4.1, expressed from the human TPM4 gene. Tpm4.1 expression is down-regulated in a subset of breast cancer cells compared with untransformed MCF10A breast epithelial cells and in highly metastatic breast cancer cell lines derived from poorly metastatic MDA-MD-231 cells. In addition, patients with invasive ductal breast carcinoma show decreased TPM4 expression compared with patients with ductal breast carcinoma in situ, and low TPM4 expression is associated with poor prognosis. Loss of Tpm4.1 using siRNA in MCF10A cells increases cell migration in wound-healing and Boyden chamber assays and invasion out of spheroids as well as disruption of cell-cell adhesions. Down-regulation of Tpm4.1 in MDA-MB-231 cells leads to disruption of actin organization and increased cell invasion and dissemination from spheroids into collagen gels. The down-regulation of Tpm4.1 induces Rac1-mediated alteration of myosin IIB localization, and pharmacologic inhibition of Rac1 or down-regulation of myosin IIB using siRNA inhibits the invasive phenotypes in MCF10A cells. Thus Tpm4.1 plays an important role in blocking invasive behaviors through Rac1-myosin IIB signaling and our findings suggest that decreased expression of Tpm4.1 might play a crucial role during tumor progression.														1949-2553	1949-2553	10.18632/oncotarget.16825																		
J	BCI:BCI201700343773	28190250			Plasma carotenoids and the risk of premalignant breast disease in women aged 50 and younger: a nested case-control study		Cohen, Kevin; Liu, Ying; Luo, Jingqin; Appleton, Catherine M.; Colditz, Graham A. (colditzg@wustl.edu)									Breast Cancer Research and Treatment		2017	APR 2017	162	3	571-580	571	580							To examine the association of plasma carotenoids, micronutrients in fruits, and vegetables, with risk of premalignant breast disease (PBD) in younger women.Blood samples were collected at the Siteman Cancer Center between 2008 and 2012 from 3537 women aged 50 or younger with no history of cancer or PBD. The analysis included 147 participants diagnosed with benign breast disease or breast carcinoma in situ during a 27-month follow-up and 293 controls. Cases and controls were matched on age, race/ethnicity, and date of and fasting status at blood draw. Plasma carotenoids were quantified. We used logistic regression to calculate odds ratios (ORs) and 95% confidence intervals (CIs) and linear regression to assess racial differences in plasma carotenoids.The risk reduction between the highest and lowest tertiles varied by carotenoid, with beta-cryptoxanthin having the greatest reduction (OR 0.62; 95% CI, 0.62-1.09; P (trend) = 0.056) and total carotenoids the least (OR 0.83; 95% CI, 0.48-1.44; P (trend) = 0.12). We observed an inverse association between plasma carotenoids and risk of PBD in obese women (BMI ae<yen> 30 kg/m(2); 61 cases and 115 controls) but not lean women (BMI < 25 kg/m(2); 54 cases and 79 controls), although the interaction was not statistically significant. Compared to white women, black women had lower levels of alpha and beta-carotene and higher levels of beta-cryptoxanthin and lutein/zeaxanthin.We observed suggestive inverse associations between plasma carotenoids and risk of PBD in younger women, consistent with inverse associations reported for invasive breast cancer. Carotenoids may play a role early in breast cancer development.														0167-6806	1573-7217	10.1007/s10549-017-4152-5																		
J	BCI:BCI201700375082				Claudin-4 expression is associated with disease free survival in breast carcinoma in situ: Mean follow up of 8.2 years		Duarte, G. M.; Almeida, N. R.; Tocchet, F.; Espinola, J.; Pinto, T.; Barreto, C. T.; Pinto, G. A.; Soares, F. A.; Marshall, P.; Paiva, G. R.									Cancer Research		2017	FEB 2017	77	Suppl. 4	P3-17-05	P3																						0008-5472	1538-7445	10.1158/1538-7445.SABCS16-P3-17-05																		
J	BCI:BCI201700211152	27926499			Breast carcinoma in situ: An observational study of tumor subtype, treatment and outcomes		Wu, Qi; Li, Juanjuan; Sun, Si; Zhu, Shan; Chen, Chuang; Wu, Juan; Liu, Qian; Wei, Wen; Sun, Shengrong (sun137@sina.com)									Oncotarget		2017	JAN 10 2017	8	2	2361-2371	2361	2371							Background & Aims: To evaluate the clinical presentation, treatment and outcome of patients with breast carcinoma in situ (BCIS) with special emphasis on the role of the tumor subtype and local treatment in these patients.Methods: Using data obtained by the Surveillance, Epidemiology, and End Results (SEER) program from 2010-2013, a retrospective, population-based cohort study was conducted to investigate tumor subtype-specific differences in various characteristics, overall survival (OS) and breast cancer-specific mortality (BCSM).Results: In all, 6867 patients with BCIS were eligible during the 2010-2013 study period. Compared with the hormone receptor (HoR)+/HER-subgroup, patients with triple negative (TN) breast cancer were more likely to have tumors that were higher in grade and larger in size; they were also more likely to have tumors with ductal and comedo histology and were less likely to have tumors with cribriform and papillary histology (each P < 0.05). During the follow-up period, patients with TN breast cancer had an OS of 97.0% compared with 98.6 % in the HoR+/HER-subgroup (P < 0.05). Furthermore, the BCSM rate was 1.0% for the TN group compared with 0.1% for the HoR+/HER-subgroup (P < 0.05). Multivariate analysis revealed that patients with TN MBC had a poorer OS and BCSM (P < 0.05). Multivariate analysis of OS with respect to the local treatment history showed that patients who received breast-conserving surgery (BCS) combined with radiotherapy (R) were more likely to have an improved OS (P < 0.05). Moreover, the results demonstrated that patients who underwent SLNB were more likely to have a lower BCSM (P < 0.05).Conclusions: The results demonstrate that BCIS appears to alter the prognosis associated with the TN subtype. Meanwhile, BCS plus R was a preferable option and resulted in survival rates that were better than those achieved with mastectomy; thus, SLNB should be considered as an appropriate assessment of axillary staging in patients with BCIS.														1949-2553	1949-2553	10.18632/oncotarget.13785																		
J	BCI:BCI201700827149				Differential distribution of immune cells in breast invasive carcinoma vs. breast carcinoma in situ and its significance in interpretation of immune surveillance		Wang, Li; Qin, Jun-Hui; Liang, Yuan; Yu, Ying-Hao; Cho, William C. S.; Wang, Rui-An (ruian79@yahoo.com)									International Journal of Clinical and Experimental Pathology		2017		10	7	7743-7749	7743	7749							Immune surveillance is a highly controversial subject in both the field of immunology and cancer biology. On one hand, in spite of extensive studies, there is no cancer specific antigens identified. Yet, the organisms do exert immune response to tumors. On the other hand, it is believed that immune surveillance suppresses tumorigenesis by eradicating mutated cells. However, it is also widely known that tumorigenesis is promoted by inflammation, which is in nature immune reaction. In the present study, we tried to find immune cells in early tumor lesions for the supportive or negative evidence of immune surveillance. We used immunohistochemistry to observe the localization and distribution of immune cells in the in situ carcinoma lesions and in the invasive cancer of breast. Interestingly, we did not see immune cells in either ductal carcinoma in situ (DCIS) or lobular carcinoma in situ (LCIS) of breast, the two basic supposed early cancer forms. In contrast, we observed extensive infiltration of immune cells in the invasive breast cancer, and close contact between immune cells and tumor cells. Based on these findings, we propose that the tumor antigens of breast cancer are not derived from the gene mutation or amplification such as HER2, but rather from misplacement of epithelial cells in the mesenchymal tissue. To avoid being targeted by the immune system, the carcinoma cells exert epithelial-mesenchymal transition (EMT). Therefore, immunosurveillance could be regarded as preventing the intrusion of epithelial cells to mesenchymal tissues, and EMT is a form of immune escape by the strategy of mimicry.														1936-2625	1936-2625																			
J	BCI:BCI201600773979	26876209			Loss of MLCK leads to dleisruption of cell-cell adhesion and invasive behavior of breast epithelial cells via increased expression of EGFR and ERK/JNK signaling		Kim, D. Y.; Helfman, D. M. (dhelfman@kaist.ac.kr)									Oncogene		2016	AUG 2016	35	34	4495-4508	4495	4508							Myosin light chain kinase (MLCK) expression is downregulated in breast cancer, including invasive ductal carcinoma compared with ductal breast carcinoma in situ and metastatic breast tumors. However, little is known about how loss of MLCK expression contributes to tumor progression. MLCK is a component of the actin cytoskeleton and its known role is the phosphorylation of the regulatory light chain of myosin II. To gain insights into the role of MLCK in breast cancer, we perturbed its function using small interfering RNA (siRNA) or pharmacological inhibition in untransformed breast epithelial cells (MCF10A). Loss of MLCK by siRNAs led to increased cell migration and invasion, disruption of cell-cell adhesions and enhanced formation of focal adhesions at the leading edge of migratory cells. In addition, downregulation of MLCK cooperated with HER2 in MCF10A cells to promote cell migration and invasion and low levels of MLCK is associated with a poor prognosis in HER2-positive breast cancer patients. Associated with these altered migratory behaviors were increased expression of epidermal growth factor receptor and activation of extracellular signal-regulated kinase and c-Jun N-terminal kinase signaling pathways in MLCK downregulated MCF10A cells. By contrast, inhibition of the kinase function of MLCK using pharmacological agents inhibited cell migration and invasion, and did not affect cellular adhesions. Our results show that loss of MLCK contributes to the migratory properties of epithelial cells resulting from changes in cell-cell and cell-matrix adhesions, and increased epidermal growth factor receptor signaling. These findings suggest that decreased expression of MLCK may have a critical role during tumor progression by facilitating the metastatic potential of tumor cells.														0950-9232	1476-5594	10.1038/onc.2015.508																		
J	BCI:BCI201700452351				Down-regulation of a high molecular weight tropomyosin Tpm4.1 leads to disruption of cell-cell adhesions and invasive behavior in breast epithelial cells.		Jeong, S.; Lim, S.; Schevzov, G.; Gunning, P. W.; Helfman, D. M.									Molecular Biology of the Cell		2016		27		P1976	P1976																						1059-1524	1939-4586																			
J	BCI:BCI201500695525	26276354			Octreotide LAR and tamoxifen versus tamoxifen in phase III randomize early breast cancer trials: NCIC CTG MA.14 and NSABP B-29		Chapman, Judith-Anne W. (jachapma@aol.com) ; Costantino, Joseph P.; Dong, Bin; Margolese, Richard G.; Pritchard, Kathleen I.; Shepherd, Lois E.; Gelmon, Karen A.; Wolmark, Norman; Pollak, Michael N.									Breast Cancer Research and Treatment		2015	SEP 2015	153	2	353-360	353	360							NCIC CTG MA.14 and NSABP B-29 trials examined the addition of Octreotide LAR (OCT) to 5 years of tamoxifen (TAM). Gallbladder toxicity led to B-29 discontinuation of OCT, and MA.14 OCT administration shortened to 2 years. Median follow-up was 9.8 years for 667 MA.14 patients and 6.8 years for 893 B-29 patients. The primary endpoint was disease-free survival (DFS), defined as time from randomization to time of breast cancer recurrence; second primary cancer other than squamous or basal cell skin carcinoma, cervical carcinoma in situ, or lobular breast carcinoma in situ; or death. The primary statistical test was a univariable pooled stratified log-rank test; multivariable assessment was with Cox regression. For MA.14, 97 % of patients were a parts per thousand yen50 years; for B-29, 62 %. MA.14 patients were 53 % lymph node negative (LN-) while B-29 were 100 % LN-; 33 % of MA.14 patients received adjuvant chemotherapy, 2 % concurrently, while B-29 had 53 % concurrent chemotherapy. MA.14 patients were 90% hormone receptor positive; B-29, 100 %. MA.14 patients experienced 5-year DFS of 80 % with TAM, 76 % with TAM + OCT; B-29 patients had 5-year DFS of 88 % for both arms. Pooled univariable TAM + OCT to TAM hazard ratio (HR) was 0.99 (95% CI 0.81-1.20; p = 0.69): for MA.14, HR = 0.94 (0.73-1.20; p = 0.50); for B-29, HR = 1.09 (0.80-1.50; p = 0.59). Multivariable pooled HR = 0.98 (0.81-1.20; p = 0.84). Older patients (p < 0.001), with higher T stage (p < 0.001), and LN + (p < 0.001) had shorter DFS. Addition of OCT to TAM did not significantly improve DFS; gallbladder toxicity shortened the additional administration of OCT. This does not negate targeting the insulin-IGF-I receptor family with less toxic therapeutics.														0167-6806	1573-7217	10.1007/s10549-015-3547-4																		
